side_dist = (2.31, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.54, 1.00)
side_dist = (2.32, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.55, 1.00)
side_dist = (2.33, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.55, 1.00)
side_dist = (2.34, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.56, 1.00)
side_dist = (2.35, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.56, 1.00)
side_dist = (2.36, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.57, 1.00)
side_dist = (2.36, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.58, 1.00)
side_dist = (2.37, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.58, 1.00)
side_dist = (2.38, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.59, 1.00)
side_dist = (2.39, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.59, 1.00)
side_dist = (2.40, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.60, 1.00)
side_dist = (2.41, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.60, 1.00)
side_dist = (2.42, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.61, 1.00)
side_dist = (2.42, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.62, 1.00)
side_dist = (2.43, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.62, 1.00)
side_dist = (2.44, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.63, 1.00)
side_dist = (2.45, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.63, 1.00)
side_dist = (2.46, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.64, 1.00)
side_dist = (2.47, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.65, 1.00)
side_dist = (2.48, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.65, 1.00)
side_dist = (2.49, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.66, 1.00)
side_dist = (2.50, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.66, 1.00)
side_dist = (2.51, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.67, 1.00)
side_dist = (2.52, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.68, 1.00)
side_dist = (2.53, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.68, 1.00)
side_dist = (2.53, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.69, 1.00)
side_dist = (2.54, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.70, 1.00)
side_dist = (2.55, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.70, 1.00)
side_dist = (2.56, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.71, 1.00)
side_dist = (2.57, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.72, 1.00)
side_dist = (2.58, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.72, 1.00)
side_dist = (2.59, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.73, 1.00)
side_dist = (2.60, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.74, 1.00)
side_dist = (2.61, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.74, 1.00)
side_dist = (2.62, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.75, 1.00)
side_dist = (2.64, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.76, 1.00)
side_dist = (2.65, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.76, 1.00)
side_dist = (2.66, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.77, 1.00)
side_dist = (2.67, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.78, 1.00)
side_dist = (2.68, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.78, 1.00)
side_dist = (2.69, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.79, 1.00)
side_dist = (2.70, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.80, 1.00)
side_dist = (2.71, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.81, 1.00)
side_dist = (2.72, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.81, 1.00)
side_dist = (2.73, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.82, 1.00)
side_dist = (2.74, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.83, 1.00)
